cycle,range_bin,doppler_bin,output_hex
1130475000,20,28,002200e1
1130485000,20,29,ff97ff99
1130495000,20,30,00600041
1130505000,20,31,0036ff82
1134785000,21,0,fffe0006
1134795000,21,1,fff0ffb7
1134805000,21,2,ffa2009a
1134815000,21,3,0074fe78
1134825000,21,4,00d50306
1134835000,21,5,ff0dfd62
1134845000,21,6,00bf0076
1134855000,21,7,ffa6003c
1134865000,21,8,ff18ff4a
1134875000,21,9,00c4017b
1134885000,21,10,0036fce8
1134895000,21,11,ff5f04f7
1134905000,21,12,001dfb21
1134915000,21,13,ff680274
1134925000,21,14,0166fe35
1134935000,21,15,fde00330
1134945000,21,16,03eafd00
1134955000,21,17,ff2800d9
1134965000,21,18,fb6201f8
1134975000,21,19,0396feb6
1134985000,21,20,ff35fdb8
1134995000,21,21,ff2d007c
1135005000,21,22,019100a4
1135015000,21,23,fd0401e4
1135025000,21,24,02ecff20
1135035000,21,25,ff080095
1135045000,21,26,0066005a
1135055000,21,27,006ffec3
1135065000,21,28,fe7d00c1
1135075000,21,29,01caff86
1135085000,21,30,ff3affed
1135095000,21,31,002e0030
1139375000,22,0,001e0043
1139385000,22,1,ff95ff75
1139395000,22,2,009000c4
1139405000,22,3,000bff84
1139415000,22,4,ff2b0061
1139425000,22,5,0148ffda
1139435000,22,6,0056fedc
1139445000,22,7,ffeb005c
1139455000,22,8,fcff00a4
1139465000,22,9,02eeffa8
1139475000,22,10,fee50028
1139485000,22,11,0189006d
1139495000,22,12,fbe8ff81
1139505000,22,13,046e0124
1139515000,22,14,fbd8fb1b
1139525000,22,15,04200643
1139535000,22,16,ffd4fcd9
1139545000,22,17,fe33fef3
1139555000,22,18,007a053c
1139565000,22,19,fe35f9d6
1139575000,22,20,030b0529
1139585000,22,21,fc12fa7c
1139595000,22,22,023202bc
1139605000,22,23,ffe9003c
1139615000,22,24,009f0210
1139625000,22,25,ffaafe24
1139635000,22,26,ffddff8c
1139645000,22,27,003700dd
1139655000,22,28,ffaa002d
1139665000,22,29,00a8ff3a
1139675000,22,30,ffcc00a1
1139685000,22,31,ffecff89
1143965000,23,0,ffc8fffe
1143975000,23,1,ffc9ffd4
1143985000,23,2,00380090
1143995000,23,3,ffaaffea
1144005000,23,4,ffab000f
1144015000,23,5,023fff3b
1144025000,23,6,fe04fff1
1144035000,23,7,01770149
1144045000,23,8,fce5ff7c
1144055000,23,9,03e700a2
1144065000,23,10,fb3bfd31
1144075000,23,11,045a04db
1144085000,23,12,ff80fcff
1144095000,23,13,ff220003
1144105000,23,14,030ffcab
1144115000,23,15,fbe304c7
1144125000,23,16,ffd0fe76
1144135000,23,17,0345fe0e
1144145000,23,18,fb8403fc
1144155000,23,19,011cfd5e
1144165000,23,20,02bfff85
1144175000,23,21,fc4d022b
1144185000,23,22,0248ff1d
1144195000,23,23,00850033
1144205000,23,24,002fff84
1144215000,23,25,ff970134
1144225000,23,26,fe39ff97
1144235000,23,27,02c8fe7d
1144245000,23,28,fdb20119
1144255000,23,29,01ceffc7
1144265000,23,30,fead0023
1144275000,23,31,00b1ffe5
1148555000,24,0,ffb0007a
1148565000,24,1,000cff4b
1148575000,24,2,005800bc
1148585000,24,3,ff1dff85
1148595000,24,4,00eb0226
1148605000,24,5,00d9fc88
1148615000,24,6,fe7c01b7
1148625000,24,7,01170106
1148635000,24,8,fe23fdab
1148645000,24,9,024a02a9
1148655000,24,10,fcdafb5c
1148665000,24,11,05f70758
1148675000,24,12,fadcf95d
1148685000,24,13,004b0248
1148695000,24,14,01bcff52
1148705000,24,15,fec000b0
1148715000,24,16,ffe4010c
1148725000,24,17,0484ffab
1148735000,24,18,f9b60012
1148745000,24,19,02e7fe23
1148755000,24,20,ff8f0128
1148765000,24,21,0031fda2
